Method,Silhouette_Score,Davies_Bouldin_Index,Calinski_Harabasz_Index
K-Means (With Preprocessing),0.2101825542848547,1.8295123500625885,118.19924399076932
K-Means (Without Preprocessing),0.8919101530511951,0.4950555512604697,653.9735234094162
Hierarchical (With Preprocessing),0.16068339663739437,2.097396606581303,85.04054238955673
Hierarchical (Without Preprocessing),0.8919101530511951,0.4950555512604697,653.9735234094162
